PARTICIPANT_ID,TEST_SECTION_ID,SENTENCE,USER_INPUT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936970,1473276042992,1473276043404,SHIFT,16
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936974,1473276043252,1473276043444,,82
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936977,1473276043532,1473276043668,,69
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936983,1473276043756,1473276043924,,83
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936987,1473276043908,1473276044060,,69
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51936992,1473276044148,1473276044284,,82
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937060,1473276044468,1473276044612,,86
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937064,1473276044700,1473276044843,,69
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937071,1473276044812,1473276044971,,32
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937080,1473276045020,1473276045236,SHIFT,16
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937085,1473276045172,1473276045316,,72
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937090,1473276045354,1473276045484,,69
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937130,1473276045532,1473276045700,,65
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937134,1473276045884,1473276046084,,80
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937138,1473276045988,1473276046155,,32
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937142,1473276046284,1473276046427,,79
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937168,1473276046356,1473276046507,,78
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937175,1473276046444,1473276046564,,32
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937180,1473276046676,1473276046788,,89
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937186,1473276046828,1473276046971,,79
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937191,1473276046916,1473276047019,,85
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937220,1473276046996,1473276047099,,82
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937223,1473276047052,1473276047203,,32
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937228,1473276047364,1473276047483,,82
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937234,1473276047468,1473276047587,,79
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937237,1473276047628,1473276047811,,83
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937285,1473276047756,1473276047892,,84
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937291,1473276047988,1473276048132,,69
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937294,1473276048076,1473276048212,,82
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937297,1473276048252,1473276048427,,32
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937300,1473276048612,1473276048755,,84
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937317,1473276048724,1473276048843,,72
100076,1091938,Reserve Heap on your roster this week.,Reserve Heap on your roster this week. ,51937322,1473276048812,1473276048940,,73
