PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961240	1473276413944	1473276414259	SHIFT	16
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961237	1473276414071	1473276414248	I	73
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961244	1473276414222	1473276414389	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961249	1473276414437	1473276414626	a	65
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961388	1473276414511	1473276414675	m	77
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961390	1473276414594	1473276414769	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961393	1473276414758	1473276414928	i	73
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961395	1473276414875	1473276415046	n	78
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961400	1473276414960	1473276415121	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961408	1473276416152	1473276416274	5	53
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961416	1473276416349	1473276416480	0	48
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961493	1473276416772	1473276417100	SHIFT	16
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961488	1473276416917	1473276417084	M	77
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961499	1473276417193	1473276417382	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961505	1473276417372	1473276417548	i	73
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961512	1473276417526	1473276417698	f	70
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961594	1473276417650	1473276417818	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961602	1473276417881	1473276417980	y	89
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961608	1473276417932	1473276418192	o	79
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961612	1473276418076	1473276418237	u	85
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961617	1473276418177	1473276418337	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961623	1473276418462	1473276418624	n	78
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961670	1473276418618	1473276418726	e	69
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961672	1473276418804	1473276418932	e	69
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961676	1473276419018	1473276419166	d	68
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961679	1473276419197	1473276419399	 	32
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961685	1473276419368	1473276419549	m	77
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961736	1473276419509	1473276419723	e	69
100132	1092451	I am in 50M if you need me.	I am in 50M if you need me.	51961742	1473276419702	1473276419913	.	190
100132	1092469	Just don't start him against the stifling Ravens defense this week.	Just don't start him against the stifling Ravens defense this week. 	51961971	1473276422231	1473276422429	SHIFT	16
100132	1092469	Just don't start him against the stifling Ravens defense this week.	Just don't start him against the stifling Ravens defense this week. 	51961976	1473276422324	1473276422429	J	74
100132	1092469	Just don't start him against the stifling Ravens defense this week.	Just don't start him against the stifling Ravens defense this week. 	51961982	1473276422534	1473276422666	u	85
