PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124342	1473279252230	1473279252405	SHIFT	16
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124343	1473279252357	1473279252429	I	73
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124344	1473279252453	1473279252525	t	84
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124345	1473279252549	1473279252605	 	32
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124347	1473279252654	1473279252749	c	67
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124351	1473279252750	1473279252821	a	65
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124370	1473279252886	1473279252925	r	82
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124373	1473279252997	1473279253053	r	82
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124377	1473279253077	1473279253165	i	73
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124383	1473279253133	1473279253221	e	69
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124395	1473279253197	1473279253270	s	83
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124397	1473279253270	1473279253365	 	32
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124398	1473279253366	1473279253453	a	65
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124399	1473279253493	1473279253541	 	32
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124400	1473279253542	1473279253645	l	76
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124408	1473279253565	1473279253670	o	79
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124413	1473279253621	1473279253701	t	84
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124417	1473279253702	1473279253757	 	32
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124422	1473279253854	1473279253949	m	77
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124425	1473279253901	1473279254005	o	79
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124429	1473279253925	1473279254022	r	82
100446	1095906	It carries a lot more excitement for the driver.	It carries a lot more excitement for the driver.	52124446	1473279254006	1473279254045	 	69
