PARTICIPANT_ID,D1U1_MEAN,D1U2_MEAN,D1U3_MEAN,D1D2_MEAN,D1D3_MEAN,U1D2_MEAN,Z_SCORE_MEAN
1002,547859.159602649,597664.5377483444,647469.9158940398,697275.294039735,747080.6721854304,-149416.134437086,-1.089989026189604e-14
10001,5602166.778899083,6111454.667889908,6620742.556880735,7130030.445871559,7639318.334862385,-1527863.6669724763,-2.4904499607174744e-14
10004,5607829.60130039,6117632.292327698,6627434.983355006,7137237.674382314,7647040.365409623,-1529408.0730819236,6.133137633070368e-14
10009,5611993.074941996,6122174.263573086,6632355.452204176,7142536.640835267,7652717.829466357,-1530543.5658932705,-4.0823235485520835e-14
10019,5608159.252845529,6117991.912195122,6627824.571544715,7137657.230894309,7647489.890243903,-1529497.9780487798,-1.3589057611784298e-13
10023,5616739.814647888,6127352.525070423,6637965.235492958,7148577.945915492,7659190.656338029,-1531838.1312676047,-5.70044793840987e-14
10024,5619384.033889817,6130237.127879799,6641090.2218697835,7151943.315859766,7662796.40984975,-1532559.2819699494,1.803676851725751e-14
10026,5624084.884431978,6135365.328471248,6646645.772510519,7157926.2165497895,7669206.660589061,-1533841.3321178113,4.069800441798428e-14
10027,5612788.5350083755,6123042.038190954,6633295.541373535,7143549.044556114,7653802.547738694,-1530760.509547738,-4.842171703615561e-14
100001,57086337.43465046,62276004.474164136,67465671.5136778,72655338.55319148,77845005.59270516,-15569001.118541023,-9.51176321090755e-13
100003,57089334.00459058,62279273.45955334,67469212.91451612,72659152.3694789,77849091.82444169,-15569818.364888325,6.893661269065242e-13
100007,57094703.01360799,62285130.56029962,67475558.10699126,72665985.65368289,77856413.20037453,-15571282.640074896,3.6992714343283595e-13
100008,57095117.68675401,62285582.93100437,67476048.17525473,72666513.41950509,77856978.66375546,-15571395.73275108,7.81913754187386e-14
100013,57100178.42271505,62291103.73387097,67482029.04502688,72672954.35618278,77863879.66733871,-15572775.93346773,4.246949267768795e-13
100016,57095185.930154644,62285657.37835051,67476128.8265464,72666600.27474226,77857071.72293815,-15571414.344587618,2.850835260871754e-13
100020,57099537.915254235,62290404.99845917,67481272.0816641,72672139.16486901,77863006.24807397,-15572601.24961478,-1.108988265027045e-12
100030,57105147.30107034,62296524.32844036,67487901.3558104,72679278.38318042,77870655.41055046,-15574131.08211008,6.994150416830086e-13
100031,57108567.646789,62300255.6146789,67491943.58256881,72683631.55045871,77875319.51834862,-15575063.903669715,1.22259389156896e-12
100032,57175751.03095239,62373546.57922078,67571342.12748918,72769137.67575757,77966933.22402598,-15593386.644805184,3.308080120560586e-14
100033,57109292.58287094,62301046.454041004,67492800.32521111,72684554.19638118,77876308.06755127,-15575261.613510242,1.1425815393670059e-12
100045,57121264.61436315,62314106.85203251,67506949.0897019,72699791.32737127,77892633.56504065,-15578526.71300812,-9.88259760084736e-13
100050,57126127.963492066,62319412.32380952,67512696.68412699,72705981.04444444,77899265.40476191,-15579853.080952369,-2.834845820756234e-13
100056,57126198.89407895,62319489.70263158,67512780.51118422,72706071.31973684,77899362.12828948,-15579872.425657885,-4.557795661354117e-13
100059,57135686.95340909,62329840.312809914,67523993.67221075,72718147.03161156,77912300.3910124,-15582460.078202467,-3.021978902195963e-13
100060,57124468.560880505,62317602.06641509,67510735.57194969,72703869.07748428,77897002.58301887,-15579400.516603762,-1.3782853265406886e-12
100068,57129407.817337036,62322990.34618585,67516572.87503468,72710155.40388349,77903737.93273231,-15580747.586546453,6.605180264660676e-13
