PARTICIPANT_ID,D1U1_MEAN,D1U2_MEAN,D1U3_MEAN,D1D2_MEAN,D1D3_MEAN,U1D2_MEAN,D1U1_Z_SCORE_MEAN,D1U2_Z_SCORE_MEAN,D1U3_Z_SCORE_MEAN,D1D2_Z_SCORE_MEAN,D1D3_Z_SCORE_MEAN,U1D2_Z_SCORE_MEAN
1002,547859.159602649,597664.5377483444,647469.9158940398,697275.294039735,747080.6721854304,-149416.134437086,3.3806658723354106e-15,-3.8729872877585925e-15,-8.94148625633871e-15,1.7058319436902867e-14,1.1042528186914107e-14,5.9069746886347734e-15
10001,5602166.778899083,6111454.667889908,6620742.556880735,7130030.445871559,7639318.334862385,-1527863.6669724763,-3.396179507708594e-13,4.150749934529124e-14,-2.3536873629658117e-13,8.386330802656736e-14,1.0436329243644152e-13,-2.075520474869362e-14
10004,5607829.60130039,6117632.292327698,6627434.983355006,7137237.674382314,7647040.365409623,-1529408.0730819236,8.73192574452259e-15,1.2253714875615068e-13,-6.80187014933353e-14,-1.0028360167998401e-13,-1.8086962356962237e-15,-1.3136291649885354e-13
10009,5611993.074941996,6122174.263573086,6632355.452204176,7142536.640835267,7652717.829466357,-1530543.5658932705,1.9366307990108706e-14,-2.2220946402845594e-14,2.6596925229372775e-14,-9.566464660911615e-15,3.248857743801003e-14,2.4027699139439758e-14
10019,5608159.252845529,6117991.912195122,6627824.571544715,7137657.230894309,7647489.890243903,-1529497.9780487798,1.490164811780861e-13,-4.6002948514671326e-14,1.829272054518645e-13,1.3345422328201516e-14,-1.3588913192529063e-13,4.88389816393642e-14
10023,5616739.814647888,6127352.525070423,6637965.235492958,7148577.945915492,7659190.656338029,-1531838.1312676047,-2.012568515597259e-14,-1.4738195014954944e-13,2.642143155279767e-14,-8.597629650473247e-14,-5.70044793840987e-14,-1.2426773225461405e-13
10024,5619384.033889817,6130237.127879799,6641090.2218697835,7151943.315859766,7662796.40984975,-1532559.2819699494,-5.008829559611879e-14,1.770685249324536e-14,-3.857719189538924e-14,1.8705126485003473e-14,-3.1295685760927824e-14,9.902966964359309e-14
10026,5624084.884431978,6135365.328471248,6646645.772510519,7157926.2165497895,7669206.660589061,-1533841.3321178113,1.9527468313070354e-14,6.72985120957914e-16,-1.0930636168672754e-14,-2.4919134855941415e-14,-3.606838997644779e-14,-1.0000010792939976e-13
10027,5612788.5350083755,6123042.038190954,6633295.541373535,7143549.044556114,7653802.547738694,-1530760.509547738,1.5408482232553093e-14,-2.279910859024876e-13,1.1733216296930487e-13,-9.857441496229631e-14,-4.842580831028321e-14,-8.574864250629165e-14
100001,57086337.43465046,62276004.474164136,67465671.5136778,72655338.55319148,77845005.59270516,-15569001.118541023,-1.578590348610981e-12,-1.3241488284105354e-12,2.22338324718537e-12,1.422030342179456e-13,1.4746896712887965e-12,-3.8710473529798003e-13
100003,57089334.00459058,62279273.45955334,67469212.91451612,72659152.3694789,77849091.82444169,-15569818.364888325,-6.248899936238143e-13,1.4776949997239596e-12,-6.95804318491013e-13,8.937331161878466e-13,1.5407746763039833e-13,-1.1090970986942277e-12
100007,57094703.01360799,62285130.56029962,67475558.10699126,72665985.65368289,77856413.20037453,-15571282.640074896,1.2841108395781822e-13,-7.510646287173177e-13,3.828653305060769e-13,3.723297159557888e-13,3.699274206420806e-13,-1.4432871599202575e-13
100008,57095117.68675401,62285582.93100437,67476048.17525473,72666513.41950509,77856978.66375546,-15571395.73275108,-5.218429602395894e-13,-5.768896600919866e-13,1.5549974376228772e-13,1.7626728154070685e-12,-3.5852737566755337e-13,-3.130799840630069e-13
100013,57100178.42271505,62291103.73387097,67482029.04502688,72672954.35618278,77863879.66733871,-15572775.93346773,-4.1578270098081595e-13,-5.989235391983237e-13,2.0417926608710482e-13,8.400502515826247e-13,-5.880355939337068e-13,-3.811324016246251e-13
100016,57095185.930154644,62285657.37835051,67476128.8265464,72666600.27474226,77857071.72293815,-15571414.344587618,-7.636274201746515e-14,2.545380859122436e-13,1.8757501279597274e-12,2.3272077277858525e-13,-1.0317262508247907e-12,-1.3660218431782503e-12
100020,57099537.915254235,62290404.99845917,67481272.0816641,72672139.16486901,77863006.24807397,-15572601.24961478,1.8095451519675043e-12,3.1131108647969436e-12,-3.2646342400511624e-12,-4.620782441834266e-13,-1.1089913442280378e-12,-8.204897128092424e-13
100030,57105147.30107034,62296524.32844036,67487901.3558104,72679278.38318042,77870655.41055046,-15574131.08211008,3.2769879232872485e-13,-1.6768027673125936e-12,4.3372037188377826e-12,-8.608160056326664e-13,-4.734503648795913e-13,-6.456143808487115e-13
100031,57108567.646789,62300255.6146789,67491943.58256881,72683631.55045871,77875319.51834862,-15575063.903669715,-1.5004601027508508e-12,-3.1954540950084617e-13,2.735878801794728e-13,-1.4210708043536365e-12,1.2225983732031877e-12,1.1299752163524417e-12
100032,57175751.03095239,62373546.57922078,67571342.12748918,72769137.67575757,77966933.22402598,-15593386.644805184,-8.760188341923258e-15,-2.1995392520333458e-14,8.410780489584518e-15,8.105877681436381e-14,-3.336917082239161e-14,3.260354948982543e-14
100033,57109292.58287094,62301046.454041004,67492800.32521111,72684554.19638118,77876308.06755127,-15575261.613510242,-1.8123701172714146e-12,2.249045072949065e-12,-2.3457777738762966e-12,-1.6266302070211161e-12,-1.0348912452099996e-12,-1.776253450718102e-12
100045,57121264.61436315,62314106.85203251,67506949.0897019,72699791.32737127,77892633.56504065,-15578526.71300812,-1.7048121421033356e-13,1.2254033981446694e-12,2.0653608302684604e-12,-3.3169071223452923e-13,4.762685277776329e-13,9.227695391901332e-13
100050,57126127.963492066,62319412.32380952,67512696.68412699,72705981.04444444,77899265.40476191,-15579853.080952369,4.763799584083469e-13,-1.0934924335797271e-12,2.3491523247524202e-12,-5.123570586020993e-13,-8.246807117266433e-13,-1.2742470218315233e-12
100056,57126198.89407895,62319489.70263158,67512780.51118422,72706071.31973684,77899362.12828948,-15579872.425657885,1.1265009393138383e-12,-4.225473772048884e-13,-4.776927391659276e-13,-3.9880905595467946e-13,-4.557795661354117e-13,5.792232190958059e-13
100059,57135686.95340909,62329840.312809914,67523993.67221075,72718147.03161156,77912300.3910124,-15582460.078202467,5.339975477413702e-13,-7.657256371673417e-13,8.019845118579406e-13,2.0910867160876868e-13,-3.021990371442085e-13,-5.414371889309709e-13
100060,57124468.560880505,62317602.06641509,67510735.57194969,72703869.07748428,77897002.58301887,-15579400.516603762,-1.6292339943963825e-12,1.7472550310855792e-12,-6.006895889154665e-13,-2.671778382043169e-12,-3.4359293886655284e-13,-1.2657025672131213e-12
100068,57129407.817337036,62322990.34618585,67516572.87503468,72710155.40388349,77903737.93273231,-15580747.586546453,9.87648859290605e-14,6.554464168212612e-13,7.086493512509752e-13,6.518268741836969e-13,6.605180264660676e-13,2.542126472341198e-12
100072,57137811.03630319,62332157.49414893,67526503.95199469,72720850.40984042,77915196.86768617,-15583039.373537224,8.358417386118847e-13,1.5323971406221131e-13,-7.153361827233355e-13,-9.757088753969022e-14,5.043693004618313e-13,2.2766599480343924e-13
